GEOID,NAME,year,estimate
18097330204,NA,2025,119774.52364077176
18097330204,NA,2026,119546.63310315355
18097330204,NA,2027,119609.81639825425
18097330204,NA,2028,119592.28324520361
18097330206,NA,2024,144055.04967960366
18097330206,NA,2025,146902.1504342969
18097330206,NA,2026,148804.58195388087
18097330206,NA,2027,150068.74942045633
18097330206,NA,2028,150905.7288966036
18097330208,NA,2024,99145.18295027102
18097330208,NA,2025,102776.98006682782
18097330208,NA,2026,105021.58073511218
18097330208,NA,2027,106393.00336801403
18097330208,NA,2028,107225.16457624355
18097330209,NA,2024,95165.99326180488
18097330209,NA,2025,96231.03737758369
18097330209,NA,2026,97017.98054054749
18097330209,NA,2027,97597.93933279089
18097330209,NA,2028,98024.54805916277
18097330210,NA,2024,78548.63276641932
18097330210,NA,2025,78513.52328054818
18097330210,NA,2026,78505.87686057748
18097330210,NA,2027,78504.21120845436
18097330210,NA,2028,78503.84835555016
18097330211,NA,2024,58118.755712121914
18097330211,NA,2025,67292.96234101514
18097330211,NA,2026,76836.804567901
18097330211,NA,2027,86634.5219959202
18097330211,NA,2028,96572.9921612583
18097330212,NA,2024,79295.6557144111
18097330212,NA,2025,78356.2609785589
18097330212,NA,2026,78067.36841976254
18097330212,NA,2027,77978.04487791378
18097330212,NA,2028,77950.38051026018
18097330213,NA,2024,99416.8446157383
18097330213,NA,2025,101642.58783014775
18097330213,NA,2026,102956.56658591566
18097330213,NA,2027,103726.6109262478
18097330213,NA,2028,104175.97045083364
18097330401,NA,2024,104628.9133238217
18097330401,NA,2025,104629.29438948818
18097330401,NA,2026,104629.30297439505
18097330401,NA,2027,104629.30316780138
18097330401,NA,2028,104629.30317215847
18097330500,NA,2024,72390.43102295819
18097330500,NA,2025,72412.02106606174
18097330500,NA,2026,72411.23255477729
18097330500,NA,2027,72411.26134848889
18097330500,NA,2028,72411.26029703613
18097330600,NA,2024,49330.7972685835
18097330600,NA,2025,49344.15989887431
18097330600,NA,2026,49343.379048813906
18097330600,NA,2027,49343.42467190778
18097330600,NA,2028,49343.422006244786
18097330700,NA,2024,37991.359426349016
18097330700,NA,2025,38023.263306367146
18097330700,NA,2026,38044.69866941495
18097330700,NA,2027,38059.097196832256
18097330700,NA,2028,38068.767455692614
18097330702,NA,2024,61621.08386731862
18097330702,NA,2025,69062.74963540328
18097330702,NA,2026,75226.4583793373
18097330702,NA,2027,80206.36225372589
18097330702,NA,2028,84155.46588835648
18097330803,NA,2024,32542.47175897203
18097330803,NA,2025,32508.121345692038
18097330803,NA,2026,32494.428380422047
18097330803,NA,2027,32488.967585113394
18097330803,NA,2028,32486.789417893575
18097330804,NA,2024,67134.14025893317
18097330804,NA,2025,74700.9148185799
18097330804,NA,2026,80089.8939835252
18097330804,NA,2027,83812.47867167146
18097330804,NA,2028,86333.17348142272
18097330805,NA,2024,28801.22130742288
18097330805,NA,2025,28732.09192040848
18097330805,NA,2026,28710.565933586266
18097330805,NA,2027,28703.855747089492
18097330805,NA,2028,28701.76330697899
18097330806,NA,2024,43841.47518269723
18097330806,NA,2025,44842.78914601059
18097330806,NA,2026,45175.39441741819
18097330806,NA,2027,45284.76907699521
18097330806,NA,2028,45320.61768130565
18097330900,NA,2024,34951.61605367599
18097330900,NA,2025,35128.75785325179
18097330900,NA,2026,35062.91452136743
18097330900,NA,2027,35087.33512024354
18097330900,NA,2028,35078.27044703275
18097331000,NA,2024,47466.20448774528
18097331000,NA,2025,47648.56368518344
18097331000,NA,2026,47695.39180947173
18097331000,NA,2027,47707.39531435344
18097331000,NA,2028,47710.47077443366
18097340101,NA,2024,62020.72752727712
18097340101,NA,2025,64974.367516811115
18097340101,NA,2026,63199.790910299314
18097340101,NA,2027,64250.118611405895
18097340101,NA,2028,63622.86448816561
18097340102,NA,2024,36493.64676809382
18097340102,NA,2025,37464.109593591595
18097340102,NA,2026,37078.354925530504
18097340102,NA,2027,37230.00394348697
18097340102,NA,2028,37170.1259345421
18097340108,NA,2024,49960.54429054138
